location,zone,month,GHI_monthly,DNI_monthly
Nuwakot,Central Hills,10,132.25526315789475,149.42105263157896
Nuwakot,Central Hills,11,116.45315789473685,167.51473684210526
Nuwakot,Central Hills,12,110.79842105263158,178.88631578947368
Okhaldhunga,Central Hills,1,107.79842105263158,142.67789473684212
Okhaldhunga,Central Hills,2,118.48526315789472,135.54368421052632
Okhaldhunga,Central Hills,3,162.42526315789473,167.85684210526315
Okhaldhunga,Central Hills,4,179.52421052631578,172.24263157894737
Okhaldhunga,Central Hills,5,165.9357894736842,131.82105263157894
Okhaldhunga,Central Hills,6,127.88894736842104,82.73052631578946
Okhaldhunga,Central Hills,7,99.18315789473684,47.41789473684211
Okhaldhunga,Central Hills,8,106.44368421052631,58.96052631578947
Okhaldhunga,Central Hills,9,109.33,79.68736842105262
Okhaldhunga,Central Hills,10,123.4278947368421,122.92
Okhaldhunga,Central Hills,11,112.80736842105264,144.5478947368421
Okhaldhunga,Central Hills,12,108.52157894736841,157.85263157894735
Palpa,Western Hills,1,116.7021052631579,174.79473684210527
Palpa,Western Hills,2,125.14105263157894,161.5321052631579
Palpa,Western Hills,3,176.95052631578946,209.79000000000002
Palpa,Western Hills,4,191.3057894736842,200.55947368421053
Palpa,Western Hills,5,186.93315789473684,176.45263157894738
Palpa,Western Hills,6,146.92368421052632,117.08263157894737
Palpa,Western Hills,7,111.84789473684211,68.70052631578947
Palpa,Western Hills,8,115.28315789473685,77.47999999999999
Palpa,Western Hills,9,118.97894736842105,102.41473684210527
Palpa,Western Hills,10,135.3421052631579,161.97473684210527
Palpa,Western Hills,11,117.29736842105264,169.0536842105263
Palpa,Western Hills,12,110.58210526315789,171.54052631578946
Panchthar,Eastern Hills,1,107.13052631578948,147.7273684210526
Panchthar,Eastern Hills,2,112.68,134.60473684210524
Panchthar,Eastern Hills,3,155.90842105263158,167.36263157894737
Panchthar,Eastern Hills,4,168.01684210526318,161.71842105263158
Panchthar,Eastern Hills,5,161.60631578947368,134.1878947368421
Panchthar,Eastern Hills,6,122.76105263157895,84.15052631578946
Panchthar,Eastern Hills,7,99.21052631578948,55.335263157894744
Panchthar,Eastern Hills,8,108.84473684210528,67.6978947368421
Panchthar,Eastern Hills,9,111.73684210526316,91.82894736842105
Panchthar,Eastern Hills,10,127.91947368421054,141.88631578947368
Panchthar,Eastern Hills,11,110.4642105263158,144.6536842105263
Panchthar,Eastern Hills,12,102.44052631578947,149.15
Parasi,Western Terai,1,119.09,179.1405263157895
Parasi,Western Terai,2,129.54631578947368,173.44842105263157
Parasi,Western Terai,3,181.14157894736843,216.27631578947367
Parasi,Western Terai,4,197.00578947368422,219.39263157894737
Parasi,Western Terai,5,194.9515789473684,192.9457894736842
Parasi,Western Terai,6,154.1042105263158,130.10526315789474
Parasi,Western Terai,7,117.03105263157896,76.37210526315789
Parasi,Western Terai,8,120.41684210526316,86.25736842105263
Parasi,Western Terai,9,121.96999999999998,108.48315789473683
Parasi,Western Terai,10,138.16,166.05894736842106
Parasi,Western Terai,11,121.22157894736843,176.47368421052633
